ticker,name,weight_pct,price,target_short_shares,target_short_shares_2000,current_short,additional_sell_shares,cover_needed_shares,plan_basis,base_target_xop_shares,target_xop_shares,snapshot_time
TPL,TEXAS PACIFIC LAND CORP,3.174918356847134,428.08,11,23,11.0,12,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
PBF,PBF ENERGY INC CLASS A,2.910463244381397,46.81,95,192,95.0,97,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
DK,DELEK US HOLDINGS INC,2.806620492646065,52.02,82,166,82.0,84,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
EXE,EXPAND ENERGY CORP,2.802654466190796,90.74,47,95,47.0,48,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CNX,CNX RESOURCES CORP,2.781644480079695,33.73,126,254,126.0,128,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
EQT,EQT CORP,2.75078774029397,52.67,80,161,80.0,81,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
VLO,VALERO ENERGY CORP,2.747605355384857,266.98,16,32,16.0,16,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
AR,ANTERO RESOURCES CORP,2.683659034147644,35.145,117,236,117.0,119,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
DINO,HF SINCLAIR CORP,2.679129917814251,71.525,57,116,57.0,59,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
PARR,PAR PACIFIC HOLDINGS INC,2.648654751932071,57.34,71,142,71.0,71,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
MPC,MARATHON PETROLEUM CORP,2.642792566667109,261.92,15,31,15.0,16,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
RRC,RANGE RESOURCES CORP,2.586279617356518,37.12,106,215,106.0,109,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
VNOM,VIPER ENERGY INC CL A,2.577206746304686,41.78,94,190,94.0,96,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
PR,PERMIAN RESOURCES CORP CL A,2.539700276138495,18.23,213,430,213.0,217,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
PSX,PHILLIPS 66,2.532208350671687,172.67,22,45,22.0,23,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
EOG,EOG RESOURCES INC,2.517218644384052,128.87,30,60,30.0,30,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
MGY,MAGNOLIA OIL + GAS CORP   A,2.503606898075462,25.135,152,307,152.0,155,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
OVV,OVINTIV INC,2.473287874967113,52.33,72,146,72.0,74,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
XOM,EXXON MOBIL CORP,2.470624664780983,136.87,28,56,28.0,28,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
MTDR,MATADOR RESOURCES CO,2.467574025337288,48.93,77,156,77.0,79,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CRC,CALIFORNIA RESOURCES CORP,2.444442449286779,51.745,72,146,72.0,74,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
FANG,DIAMONDBACK ENERGY INC,2.434230711878327,174.685,21,43,21.0,22,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
GPOR,GULFPORT ENERGY CORP,2.432323818252934,167.62,22,45,22.0,23,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
DVN,DEVON ENERGY CORP,2.413427614942552,40.605,91,183,91.0,92,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CVX,CHEVRON CORP,2.376877519266066,166.69,22,44,22.0,22,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
COP,CONOCOPHILLIPS,2.359532008878278,103.96,35,70,35.0,35,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
APA,APA CORP,2.332862823108194,32.135,111,224,111.0,113,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
OXY,OCCIDENTAL PETROLEUM CORP,2.315252845897232,48.285,73,148,73.0,75,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CRGY,CRESCENT ENERGY INC A,2.282520441040879,9.685,360,727,360.0,367,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
VG,VENTURE GLOBAL INC CL A,2.279456139104474,10.995,317,639,317.0,322,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CHRD,CHORD ENERGY CORP,2.250422366203209,112.7,30,62,30.0,32,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CLMT,CALUMET INC,2.241281182687826,36.265,94,191,94.0,97,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
MUR,MURPHY OIL CORP,2.224479244331432,32.09,106,214,106.0,108,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
SM,SM ENERGY CO,2.16384998114576,25.885,128,258,128.0,130,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
NOG,NORTHERN OIL AND GAS INC,1.881094935587202,17.82,161,326,161.0,165,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
TALO,TALOS ENERGY INC,1.478743308306249,13.445,168,339,168.0,171,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
WKC,WORLD KINECT CORP,1.246316982322296,33.35,57,115,57.0,58,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CRK,COMSTOCK RESOURCES INC,1.146769132759613,14.68,119,241,119.0,122,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
KOS,KOSMOS ENERGY LTD,1.143284221226205,2.05,851,1720,851.0,869,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
GPRE,GREEN PLAINS INC,1.098223368483674,16.06,104,211,104.0,107,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
BKV,BKV CORPORATION,1.017243822406332,26.88,58,117,58.0,59,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CVI,CVR ENERGY INC,0.8611342289162365,28.265,47,94,47.0,47,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
DEC,DIVERSIFIED ENERGY CO,0.7586674853752775,13.67,85,171,85.0,86,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
NUAI,NEW ERA ENERGY + DIGITAL INC,0.588630932351924,5.6979,158,319,-0.0,319,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
REX,REX AMERICAN RESOURCES CORP,0.5319179251123642,45.75,18,36,18.0,18,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
SOC,SABLE OFFSHORE CORP,0.4844749191765967,4.185,177,357,177.0,180,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
EGY,VAALCO ENERGY INC,0.4833936304678272,5.025,147,297,147.0,150,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
VTS,VITESSE ENERGY INC,0.4504055418193287,15.91,43,87,43.0,44,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
GEVO,GEVO INC,0.4323320157485602,1.48,446,901,446.0,455,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
SD,SANDRIDGE ENERGY INC,0.363265187422075,13.57,41,83,41.0,42,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
CLNE,CLEAN ENERGY FUELS CORP,0.1865057120930236,2.05,139,281,139.0,142,0,current_program_basket_file,990,2000,2026-07-02 14:01:49
